Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Trend_Up
2019-09-02,3881.751220703125,3890.841796875,3827.20654296875,3836.29736328125,3215.292724609375,95796820.5,2019,September,Monday,0
2019-09-03,3799.934326171875,3881.751220703125,3754.480712890625,3772.662109375,3161.95849609375,95796820.5,2019,September,Tuesday,0
2019-09-04,3799.934326171875,3799.934326171875,3727.208251953125,3781.7529296875,3169.577880859375,95796820.5,2019,September,Wednesday,1
2019-09-05,3836.29736328125,3845.38818359375,3799.934326171875,3836.29736328125,3215.292724609375,95796820.5,2019,September,Thursday,1
2019-09-06,3872.660400390625,3899.9326171875,3863.569580078125,3881.751220703125,3253.388671875,125869894.0,2019,September,Friday,1
2019-09-09,3899.9326171875,3899.9326171875,3790.843505859375,3790.843505859375,3177.197021484375,95796820.5,2019,September,Monday,0
2019-09-10,3799.934326171875,3809.025146484375,3772.662109375,3809.025146484375,3192.435302734375,95796820.5,2019,September,Tuesday,1
2019-09-11,3772.662109375,3872.660400390625,3772.662109375,3863.569580078125,3238.150634765625,125741191.0,2019,September,Wednesday,1
2019-09-12,3909.0234375,3954.47705078125,3881.751220703125,3890.841796875,3261.0078125,95813194.0,2019,September,Thursday,1
2019-09-13,3927.204833984375,3927.204833984375,3890.841796875,3918.1142578125,3283.86572265625,95796820.5,2019,September,Friday,1
2019-09-16,3899.9326171875,3899.9326171875,3727.208251953125,3809.025146484375,3192.435302734375,145880779.0,2019,September,Monday,0
2019-09-17,3781.7529296875,3863.569580078125,3754.480712890625,3863.569580078125,3238.150634765625,117840195.0,2019,September,Tuesday,1
2019-09-18,3854.478759765625,3872.660400390625,3827.20654296875,3854.478759765625,3230.531005859375,95796820.5,2019,September,Wednesday,0
2019-09-19,3818.115966796875,3845.38818359375,3818.115966796875,3836.29736328125,3215.292724609375,101320660.0,2019,September,Thursday,0
2019-09-20,3818.115966796875,3836.29736328125,3754.480712890625,3781.7529296875,3169.577880859375,184441697.5,2019,September,Friday,0
2019-09-23,3781.7529296875,3818.115966796875,3781.7529296875,3799.934326171875,3184.816162109375,95796820.5,2019,September,Monday,1
2019-09-24,3781.7529296875,3781.7529296875,3736.299072265625,3736.299072265625,3139.10107421875,104585626.0,2019,September,Tuesday,0
2019-09-25,3699.93603515625,3745.389892578125,3654.482421875,3709.02685546875,3139.10107421875,95796820.5,2019,September,Wednesday,0
2019-09-26,3736.299072265625,3827.20654296875,3727.208251953125,3827.20654296875,3207.673828125,95796820.5,2019,September,Thursday,1
2019-09-27,3827.20654296875,3827.20654296875,3781.7529296875,3799.934326171875,3184.816162109375,95796820.5,2019,September,Friday,0
2019-09-30,3818.115966796875,3818.115966796875,3736.299072265625,3745.389892578125,3139.10107421875,95796820.5,2019,September,Monday,0
2019-10-01,3745.389892578125,3754.480712890625,3699.93603515625,3699.93603515625,3139.10107421875,95796820.5,2019,October,Tuesday,0
2019-10-02,3681.754638671875,3718.11767578125,3599.937744140625,3644.043701171875,3139.10107421875,182983980.0,2019,October,Wednesday,0
2019-10-03,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,October,Thursday,0
2019-10-04,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,103236563.0,2019,October,Friday,0
2019-10-07,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,139378677.0,2019,October,Monday,0
2019-10-08,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,131777876.0,2019,October,Tuesday,0
2019-10-09,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,129617548.0,2019,October,Wednesday,0
2019-10-10,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,118644859.0,2019,October,Thursday,0
2019-10-11,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,112429201.0,2019,October,Friday,0
2019-10-14,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,120763165.0,2019,October,Monday,0
2019-10-15,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,140902423.0,2019,October,Tuesday,0
2019-10-16,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,October,Wednesday,0
2019-10-17,3645.3916015625,3699.93603515625,3627.2099609375,3681.754638671875,3139.10107421875,115003686.0,2019,October,Thursday,1
2019-10-18,3681.754638671875,3809.025146484375,3681.754638671875,3790.843505859375,3177.197021484375,113976708.0,2019,October,Friday,1
2019-10-21,3790.843505859375,3809.025146484375,3736.299072265625,3745.389892578125,3139.10107421875,95796820.5,2019,October,Monday,0
2019-10-22,3709.02685546875,3763.5712890625,3699.93603515625,3763.5712890625,3154.339599609375,95796820.5,2019,October,Tuesday,1
2019-10-23,3772.662109375,3799.934326171875,3709.02685546875,3799.934326171875,3184.816162109375,139892606.0,2019,October,Wednesday,1
2019-10-24,3799.934326171875,3909.0234375,3799.934326171875,3909.0234375,3276.246337890625,172727403.0,2019,October,Thursday,1
